Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 67.0.3396.99,,2018-07-11 15:43:44,2018-07-11 15:43:46,"2,451s",PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-11 15:43:46,2018-07-11 15:43:46,"0,023s",PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-11 15:43:46,2018-07-11 15:43:47,"0,452s",PASSED
Statement - obtenerListaProductos(5),Chrome 67.0.3396.99,,2018-07-11 15:43:47,2018-07-11 15:43:47,"0,000s",PASSED
Statement - listaProductos = [],Chrome 67.0.3396.99,,2018-07-11 15:43:47,2018-07-11 15:43:47,"0,000s",PASSED
"Statement - producto = """"",Chrome 67.0.3396.99,,2018-07-11 15:43:47,2018-07-11 15:43:47,"0,000s",PASSED
"Statement - precio = """"",Chrome 67.0.3396.99,,2018-07-11 15:43:47,2018-07-11 15:43:47,"0,000s",PASSED
"Statement - envio = """"",Chrome 67.0.3396.99,,2018-07-11 15:43:47,2018-07-11 15:43:47,"0,001s",PASSED
"Statement - productos = """"",Chrome 67.0.3396.99,,2018-07-11 15:43:47,2018-07-11 15:43:47,"0,000s",PASSED
"Statement - For ([i = 1, i <= cantidad, (i++)])",Chrome 67.0.3396.99,,2018-07-11 15:43:47,2018-07-11 15:43:48,"1,032s",PASSED
"Statement - listaProductos.eachWithIndex({ java.lang.Object val, java.lang.Object idx -> ... })",Chrome 67.0.3396.99,,2018-07-11 15:43:48,2018-07-11 15:43:48,"0,001s",PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-11 15:43:48,2018-07-11 15:43:48,"0,623s",PASSED
